text;label
Desenvolver, ampliar e validar um sistema modular para treinamento de detectores e classificadores de falhas de operação em poços de petróleo, no contexto do Projeto 3W (https://github.com/petrobras/3W), com o objetivo de apoiar a tomada de decisões para mitigação das diversas consequências dessas falhas (quebra de equipamentos, mau funcionamento, perda de produção etc.).Desenvolvimento, a ampliação e a validação de um sistema modular para treinamento de detectores e classificadores de falhas de operação em poços de petróleo, no contexto do Projeto 3W.;Inteligência Artificial
"O objetivo geral do projeto consiste em desenvolver um assistente inteligente com interface de linguagem natural capaz de criar perfis dinâmicos e realizar recomendações personalizadas em plataformas de matches, promovendo interações mais assertivas e uma experiência humanizada para os usuários.O projeto visa desenvolver uma ferramenta inovadora que utiliza inteligência artificial para melhorar a experiência dos usuários em plataformas de marketplace de oferta de serviços. Este assistente inteligente será capaz de
interagir com os usuários por meio de linguagem natural, facilitando a criação de perfis personalizados e otimizados. Além disso, o sistema fornecerá recomendações personalizadas de potenciais matches, baseando-se em dados
comportamentais e preferências individuais. A pesquisa envolverá o desenvolvimento de algoritmos avançados de processamento de linguagem natural e aprendizado de máquina para assegurar que a interação seja intuitiva
e eficiente, promovendo maior engajamento e satisfação dos usuários.";Inteligência Artificial
O objetivo deste projeto é a pesquisa e o desenvolvimento de algoritmos para previsão e escalonamento de recursos de rede, especificamente no contexto de provedores de serviços de internet (ISPs) em áreas urbanas, capazes de oferecer suporte na antecipação de demandas de tráfego e no escalonamento eficiente de infraestrutura com base nos padrões de uso e comportamento dos clientes.O crescimento exponencial na demanda por conectividade em cidades modernas apresenta desafios significativos para a gestão de recursos de rede em provedores de serviços de internet (ISPs). O avanço das tecnologias de inteligência artificial oferece a oportunidade de antecipar padrões de uso e otimizar o escalonamento de recursos com maior precisão. Apesar de existirem estudos sobre previsão de demanda, a complexidade dos padrões de tráfego e a variabilidade no uso da rede tornam necessária a exploração contínua de soluções adaptadas a diferentes cenários. Este projeto visa a pesquisa e o desenvolvimento de algoritmos inteligentes para previsão do comportamento e demanda de recursos de rede, permitindo escalonamento proativo e otimização do fornecimento de links de internet, promovendo uma gestão mais eficiente e melhorias na qualidade dos serviços oferecidos pelos ISPs.;Inteligência Artificial
"O presente projeto será composto por três subprojetos, visando o desenvolvimento de um fertilizante pastoso de plasma marinho; o desenvolvimento de fertilizante foliar 
com aceleradores de fotossíntese e um fertilizante sólido granulado.O presente projeto será composto por três subprojetos, visando o desenvolvimento de um fertilizante pastoso de plasma marinho; o desenvolvimento de fertilizante foliar 
com aceleradores de fotossíntese e um fertilizante sólido granulado.";Biotecnologia
"Este projeto tem como objetivo desenvolver um sistema capaz de utilizar os dados coletados em tempo 
real de dispositivos IoT para, por meio de Inteligência Artificial, implementar automaticamente 
melhorias preditivas nas operações, otimizando processos e aumentando a eficiência de forma 
inteligente e contínua. Além disso, o projeto contempla a adoção de tecnologias open source de ponta 
em arquiteturas que suportem o escalonamento dinâmico da infraestrutura conforme a demanda, a 
implementação de medidas de segurança robustas em todas as camadas do sistema, e a integração 
com os principais padrões e protocolos de comunicação amplamente utilizados no mercado, 
diminuindo assim, custos operacionais com licenças de softwares de terceiros. Tudo isso enquanto 
mantém uma solução altamente personalizada, mas flexível o suficiente para acomodar novas 
personalizações e adaptações futuras.Este projeto tem como objetivo desenvolver um sistema capaz de utilizar os dados coletados em tempo 
real de dispositivos IoT para, por meio de Inteligência Artificial, implementar automaticamente 
melhorias preditivas nas operações, otimizando processos e aumentando a eficiência de forma 
inteligente e contínua.";Inteligência Artificial
"1	Objetivo geral:

Propor método alternativo de tratamento da Disbiose Vaginal por meio de sabonete íntimo probiótico oriundo do cacau e Tarubá da Amazônia.


2 Objetivos específicos:

2.1	Desenhar o perfil da microbiota vaginal de mulheres da Amazônia;
2.2	Investigar as principais afecções que alteram o ph vaginal;
2.3	Formular um sabonete íntimo probiótico a base de Lactobacillos do Cacau e Tarubá;
2.4	Comparar métodos terapêuticos de manutenção de ph vaginal com creme vaginal a base de nistatina e o sabonete íntimo probiótico;
2.5	Verificar a eficácia a curto prazo das repercussões do sabonete íntimo probiótico.Sabonete íntimo probiótico com lactobacilos provenientes do cacau e do Tarubá da Amazônia que além de método terapêutico para a disbiose vaginal é uma forma de manutenção da saúde íntima feminina e importante fomentador da bioeconomia. Os entregáveis serão: A metodologia de projeto, o sabonete íntimo probiótico, ensaio clínico randomizado, validação do produto com usuários, patente e entrega para comercialização.";Biotecnologia
"O objetivo deste projeto é criar um dispositivo inovador que facilite o compartilhamento seguro do
prontuário médico de pacientes com diferentes entidades, incluindo médicos, hospitais, outros pacientes e a
indústria farmacêutica. Esse dispositivo visa promover uma comunicação eficiente e segura entre todas as
partes envolvidas no cuidado da saúde, melhorando assim a qualidade do atendimento e a coordenação
entre os diferentes atores do sistema de saúde.O objetivo deste projeto é criar um dispositivo inovador que facilite o compartilhamento seguro do
prontuário médico de pacientes com diferentes entidades, incluindo médicos, hospitais, outros pacientes e a
indústria farmacêutica. Esse dispositivo visa promover uma comunicação eficiente e segura entre todas as
partes envolvidas no cuidado da saúde, melhorando assim a qualidade do atendimento e a coordenação
entre os diferentes atores do sistema de saúde.";Integração de Sistemas
"O projeto tem como objetivo geral desenvolver soluções tecnológicas inovadoras que promovam
eficiência e otimização em processos críticos, com foco em eficiência energética e gestão de frotas.O projeto almeja a produção de duas propriedades intelectuais principais: i) um
ambiente para treinamento e gerenciamento de modelos de IA/ML e otimização,
que inclui a gestão de datasets e o desenvolvimento e avaliação de modelos de
otimização; e ii) uma API que fornecerá serviços inteligentes baseados nesses
modelos. Ambas as propriedades intelectuais se enquadram como registro de
software, garantindo a proteção do ambiente de desenvolvimento e da API, os
quais estarão focados na entrega de soluções voltadas para a eficiência energética
e a gestão otimizada de frotas, de forma que o acordo de propriedade intelectual
é definido no APPDI.";Inteligência Artificial
"Geral: preparar formulações de frutos cambuci desidratados inteiros, cortados e fatiados, com diferentes teores e fontes de
açúcares e formulações com edulcorante.
Específicos:
- definir os teores de açúcar para a produção de frutas desidratadas e cristalizadas;
- produzir formulações de cambuci desidratado com diferentes teores e fontes de açúcares em combinação com diferentes
técnicas de secagem;
- produzir formulações de cambuci desidratados com diferentes teores de taumatina em combinação com diferentes técnicas
de secagem;
- realizar a caracterização físico-química da matéria prima (cambuci) e dos produtos;
- verificar a aceitabilidade das diferentes formulações por meio da análise sensorial exploratória realizada pela empresa
contratante concomitantemente ao preparo das formulações;
- determinar a vida de prateleira acelerada de duas formulações selecionadas pela empresa contratante;
- obter informações nutricionais e fichas técnicas de duas formulações.O cambuci é uma fruta nacional, de casca fina e coloração verde, cujo consumo in natura é limitado devido a sua
intensa acidez, além de apresentar um grande desafio em relação à conservação, que requer geralmente congelamento. A frutaé muito apreciada como aromatizante em cachaça. Uma das formas de conservação de frutas é a desidratação osmótica pelo emprego de açúcares. Frutas ácidas cristalizadas, tais como abacaxi, kiwi, laranja, morango estão mais comercialmente disponíveis. Este trabalho tem como objetivo desenvolver formulações de cambuci desidratado por meio de diferentes métodos de desidratação, contendo açúcares de fontes distintas e em diferentes concentrações, além do edulcorante taumatina, avaliar a vida de prateleira acelerada e determinar as informações nutricionais para fins de rotulagem destes produtos. Com esses produtos, novos no mercado, espera-se diversificar o modo de consumo do fruto, agregando valor, além de diminuir a dependência da cadeia do frio e valorizar a biodiversidade da Mata Atlântica.";Biotecnologia
"O presente projeto tem por objetivo consolidar e aprimorar o Sistema TOT1 de digitalização e
análise de databooks de engenharia, atingindo TRLs mais elevados nos processos. Utilizando, por
exemplo, tecnologias envolvendo análise de contexto de interação no âmbito de Modelos de
Linguagem de Larga Escala (LLM) e Engenharia de Prompt, de forma a aprimorar a gestão
documental adotada pela Petrobras.O projeto TOT2 propõe melhorias nos módulos do sistema atual e acréscimo de novos módulos. Incluindo no TOT1 monitoramento avançado, auto-escalabilidade, melhor aproveitamento da experiência dos usuários, desenvolvimento de ferramentas para comparação de databooks, análise semântica e suporte a inspeções através de modelos de linguagem avançados (LLM). Com isso melhorando a relação custo/benefício do sistema.";Inteligência Artificial
Desenvolver circuitos eletrônicos contemplando eletrônica embarcada (hardware e firmware), para realizar a recarga de baterias de veículos elétricos com sistema de carga contínua de alta potência, a ser fabricado pela Hi-Mix, com potência de 60kW.Desenvolver circuitos eletrônicos contemplando eletrônica embarcada (hardware e firmware), para realizar a recarga de baterias de veículos elétricos com sistema de carga contínua de alta potência, a ser fabricado pela Hi-Mix, com potência de 60kW.;Desenvolvimento de Hardware
"O objetivo central deste projeto é desenvolver metodologias inovadorasde manejo de balanço 
hídricoaplicada a ambientes industriais de reciclagem de acumuladores elétricos de chumbo-ácido 
para promover o uso racional e o reúso da água, a minimização de geração de efluentes líquidos, 
o aumento da eficiência energética e a recuperação de recursosindustriais (incluindo chumbo), 
visando a ampliaçãoda competitividade industrial e a promoção de uma produção mais limpa. Este 
objetivo será alcançado não só pela recomendação de medidas que levem à redução do consumo 
de água, mas, também, pelaidentificação de oportunidades para reúso de água no ambiente 
industrial e utilização de água de chuva. A unidade da Acumuladores Moura S.A. em Belo Jardim 
representa ambiente relevante para aplicação do modelo de manejo de balanço hídricoem 
unidades de reciclagem de acumuladores elétricos de chumbo-ácido, com demonstração dos 
processos em escala real.O estresse hídrico aliado à interferência das mudanças climáticas deve estimular 
a busca de soluções de curto a médio prazo para atendimento aos diversos usos 
da água das populações atuais e futuras. Estima-se que o setor industrial seja 
responsável por cerca de 25% do consumo de água no mundo e 18% do 
consumo de água no Brasil. A restrição da água na indústria deve aumentar o 
custo de produção. Para evitar tais riscos, a cooperação com a comunidade 
científica é importante. Neste contexto, este projeto objetiva promover o uso 
racional da água e a recuperação de recursos no ambiente industrial visando 
ampliar a competitividade industrial.";Química
"O Objeto do presente Contrato é 
- o desenvolvimento de um dispositivo para rastreamento de cargas com recurso anti-jamming e 
- o desenvolvimento de uma plataforma Web em nuvem para o monitoramento em tempo real de tais dispositivos customizados para uso nos termos das necessidades apresentadas pela SOLUTION GATE. 
Os elementos descritos se conectam de forma funcional, permitindo o monitoramento dos dispositivos remotamente.Desenvolvimento de um dispositivo rastreador que seja capaz de driblar o jamming, recurso amplamente utilizado para poluir os sinais de radiofrequência e impedir a localização de cargas roubadas.";Sistemas de Comunicação
"Este projeto tem como objetivo principal identificar  materiais de vedação mais eficientes para eliminar os vazamentos nos equipamentos do sistema de reator, amassador e alimentador cíclico, propiciando a otimização do processo produtivo e a redução de perdas de produto.""Este projeto busca  identificar e implementar materiais de vedação mais eficientes para eliminar os vazamentos que ocorrem nas juntas de conexão dos equipamentos, garantindo maior segurança e eficiência na produção.""";Materiais
"Este projeto de Pesquisa, Desenvolvimento e Inovação (PD&I) visa desenvolver, demonstrar e validar um
sistema de detecção de vazamentos de metano (CH₄) para plataformas, utilizando modelos avançado de
Inteligência Artificial (IA) embarcados em um drone (ou Sistema Aeronave Não Tripulada - UAS) autônomo
em missão de monitoramento contínuo.
Serão avaliadas as vantagens e limitações do uso de sistemas de detecção infravermelha de onda curta (SWIR
- Short-Wave Infrared), média (MWIR - Mid-Wave Infrared) e longa (LWIR - Long-Wave Infrared), juntamente
com um sensor laser, na detecção de vazamentos de CH₄ em diferentes cenários operacionais. Esta análise
permitirá verificar a viabilidade de uso desses sensores embarcados e fornecerá os requisitos funcionais e
técnicos necessários para o desenvolvimento de um drone otimizado para a missão.Este projeto de Pesquisa, Desenvolvimento e Inovação (PD&I) visa desenvolver, demonstrar e validar um
sistema de detecção de vazamentos de metano (CH₄) para plataformas, utilizando modelos avançado de
Inteligência Artificial (IA) embarcados em um drone (ou Sistema Aeronave Não Tripulada - UAS) autônomo
em missão de monitoramento contínuo.";Inteligência Artificial
"Este projeto tem como objetivo geral: Desenvolver e avaliar uma plataforma integrada (hardware e software) de treinamento de Mindfulness via jogos personalizados, controlados e monitorados via Interface Cérebro-Computador para melhorar as habilidades cognitivas e de autorregulação emocional de crianças com deficiências sensoriais e cerebral.Crianças com deficiências sensoriais (cegueira, baixa visão e surdez) e paralisia cerebral enfrentam altos níveis de estresse e ansiedade devido às barreiras sociais, educacionais e motoras. A Interface Cérebro-Computador surge como uma solução não farmacológica para ajudar essas crianças, melhorando suas habilidades cognitivas por meio do monitoramento cerebral e da interação via comandos mentais. Nesse contexto, o Mindfulness, uma técnica que promove a atenção plena e o controle emocional, se destaca por seus benefícios comprovados na redução do estresse e da ansiedade. Quando aliado à ICC, o Mindfulness pode potencializar os resultados, oferecendo uma abordagem integrada para melhorar as habilidades cognitivas e emocionais desse público. O objetivo geral deste projeto é desenvolver e avaliar uma plataforma integrada (hardware e software) de treinamento de Mindfulness, via jogos personalizados, controlados e monitorados por meio de Interface Neural, para melhorar as habilidades cognitivas e de autorregulação emocional de crianças com deficiências sensoriais e cerebral.
A pesquisa será de natureza mista, com abordagem quase-experimental, utilizando pré e póstestes. A amostra incluirá 20 crianças com cegueira, baixa visão, surdez e paralisia cerebral, escolhidas por amostragem aleatória. A coleta de dados envolverá testes cognitivos, monitoramento de ondas cerebrais via EEG, e entrevistas. A análise utilizará estatísticas descritivas e inferenciais, além de análise de conteúdo, para avaliar o impacto das sessões de mindfulness com jogos controlados por Interface Cérebro-Computador.
Os resultados esperados incluem o desenvolvimento de um middleware de integração para comunicação em tempo real entre dispositivos neurais, o sistema de monitoramento e os jogos, permitindo a coleta, armazenamento e interpretação dos dados das ondas cerebrais (EEG). Ao integrar essas ferramentas, pretende-se obter uma plataforma que possibilite a melhoria das habilidades cognitivas e de autorregulação emocional de crianças com deficiências sensoriais e cerebral.";Inteligência Artificial
"O projeto visa o desenvolvimento de novo semicondutor com protocolo PA otimizado para o mercado de IAV (identificação automática de veículos) e
aplicações voltadas à identificação e mobilidade com segurança.

Objetivos: Desenvolvimento e design de um novo chip com foco principal em identificação veicular no Brasil, compatível com o protocolo seguro SJ5511 / Artefato, para o mercado de identificação automática de veículos (AVI) nacional, consequentemente otimização para identificação em alta
velocidade ao mesmo tempo que contempla segurança avançada por meio de AES - 128 e, mesmo assim, funcione eficientemente quando aplicados em tags passivas. Essas tags (que serão desenvolvidas fora deste projeto) com o semicondutor (produzido neste projeto) se tornará a nova geração das tags 
Sem Parar, que todos conhecem no Brasil e como aconteceu em 2014, e deve-se tornar novamente à referência a ser atingida neste mercado.O projeto visa o desenvolvimento de novo semicondutor com protocolo PA otimizado para o mercado de IAV (identificação automática de veículos) e
aplicações voltadas à identificação e mobilidade com segurança.";Desenvolvimento de Hardware
O presente projeto tem como objetivo combinar os esforços tecnológicos entre as indústrias Kinner Silicones Ltda & STC Silicones Ltda com os Pesquisadores da UFABC, com fins de implementar uma pesquisa de desenvolvimento de traqueias de silicone para ventilação mecânica (VM), ou o suporte ventilatório esterilizável e reutilizável. A proposta será baseada no estudo catalítico da polidimetilvinilsiloxano e no desenvolvimento de acessórios anti-condensação, do qual as propriedades devem ser mantidas mesmo quando obtido em elevada escala de produção.Desenvolvimento de silicone funcional para aplicação em respirador artificial utilizado no tratamento da Covid-19.;Materiais
"Este projeto de dois anos tem o objetivo de desenvolver compostos elastoméricos que apresentem condutividade elétrica adequada para ter efeito antiestático na banda de rodagem de pneus, além de manter baixa histerese.A EMPRESA PROMETEON e a STARTUP AUTOSCIENCE, em parceria com a UNIDADE EMBRAPII da UFABC, o CTIM, celebraram um Acordo de Parceria para Pesquisa, Desenvolvimento e Inovação, no âmbito do programa Rota 2030, para o desenvolvimento de 
compostos elastoméricos reforçados com materiais funcionais, em micro e nano escalas. Estes novos materiais devem contribuir para o desenvolvimento de novas famílias de pneus com propriedades únicas, melhorando a segurança e diminuindo o consumo de combustível dos veículos. Os valores aportados são: EMBRAPII: R$ 750.000,00; PROMETEON: R$ 600.000,00; CTIM/UFABC: R$ 150.000,00 (contrapartida econômica).";Materiais
"Este projeto de dezenove meses tem como objetivo desenvolver barramentos elétricos isolados com tecnologia brasileira, para conversores de frequência de média tensão, para posterior nacionalização de sua produção. Para tal, um tratamento superficial metálico será desenvolvido em duas frentes tecnológicas, sendo a primeira a utilização da tecnologia de estanho atualmente aplicada. Posteriormente, se necessário, outras tecnologias de tratamento superficial serão aplicadas para a finalidade, ou seja, o aumento das resistências térmica e à corrosão do componente metálico do barramento, assim como proporcionar as características adequadas para adesão do barramento ao isolante. De forma concomitante, uma camada polimérica será desenvolvida para revestir e isolar os barramentos, a qual deve oferecer os níveis de resistência elétrica requeridos para a aplicação, assim como atender aos requerimentos 
de testes de descarga parcial e de tensão aplicada entre as camadas de barramentos.A adequada condutividade e consequentemente o isolamento elétrico de sistemas condutores em dispositivos de média tensão requerem propriedades funcionais e alto desempenho de todos seus constituintes. Usualmente, diversas classes de materiais e complexas condições de contorno estão envolvidos no desenvolvimento e fabricação destes sistemas. A WEG Automação e a Unidade Embrapii na UFABC, o CTIM, estabeleceram uma parceria para o desenvolvimento de superfícies metálicas funcionais, compósitos de matriz polimérica isolante e adesivos ou interfaces funcionais visando o desenvolvimento de uma nova família de sistema condutor elétrico e respectivo isolamento para dispositivos de média tensão. Espera-se por meio deste projeto viabilizar a produção em território nacional destes sistemas, bem como a obtenção de um sistema com propriedades funcionais inovadoras. Os aportes são: WEG, R$ 287.198,20 ; Embrapii, R$ 201.649,80; UFABC, R$ 122.212,00, totalizando R$ 611.060,00.";Materiais
"Fabricação por impressão 3D de placas bipolares para a construção de módulos DEFC com materiais condutores inovadores de polímero-nanotubos de carbono/grafeno;
⮚ Desenvolvimento de uma placa bipolar com dimensões otimizadas para o fluxo do combustível e do oxigênio;
⮚ Desenvolvimento da montagem das placas bipolares em um módulo de potência de estudos de bancada de 200 - 400W;
⮚ Dinamização da otimização do módulo de potência pela fabricação das placas bipolares de diversos formatos e dimensões utilizando a impressão 3D;
⮚ Desenvolvimento de uma rota sistemática para produzir módulos de potência escaláveis para aplicações veiculares.Em discussão com as empresas.";Materiais
"Este projeto de doze meses tem como objetivo desenvolver ligas resinoides com a incorporação de nanoestruturas de carbono para uso em rebolos empregados em processos de retifica e afiação de materiais de elevada dureza (metal duro, aço tratado, cerâmica e compósitos).O desgasta abrasivo de resinoides é intenso em suas várias aplicações industriais na área de retífica e afiação de materiais de elevada dureza. Existe grande interesse tecnológico em aumentar a vida útil destes produtos, reduzindo sua taxa de desgaste. Vários componentes estão envolvidos na preparação das ligas resinoides. A Christensen Roder Indústria de Produtos Diamantados LTDA e a Unidade Embrapii na UFABC, o CTIM, estabeleceram uma parceria para o desenvolvimento de ligas resinoides com incorporação de nanoestruturas de carbono. Espera-se por meio deste projeto viabilizar a produção em território nacional de rebolos resinoides com este tipo de material com propriedades funcionais inovadoras. Os aportes são: Christensen Roder, R$ 70.500,00; Embrapii, R$ 49.500,00; UFABC, R$ 30.000,00, totalizando R$ 150.000,00.";Materiais
"Este projeto de dois anos tem o objetivo de desenvolver rotas de desvulcanização química assistida por CO2 supercrítico de borrachas de banda de rodagem de pneus, para sua reciclagem e reuso.
Para tanto serão testados diferentes agentes de desvulcanização (tanto tradicionais tanto oriundo de produtos naturais) sobre amostras de borracha natural (NR) e polibutadieno (BR) vulcanizadas. As condições de desvulcanização serão otimizadas para buscar a maior recuperação de cadeias elastoméricas desvulcanizadas. Em seguida será avaliada a desvulcanização de amostras prelevadas em banda de rodagem de pneu de carga. Finalmente, as borrachas devulcanizadas (NR e BR) serão misturadas com elastômeros virgens em diferentes proporções, o composto será revulcanizado, e as propriedades funcionais mecânicas e reológicas serão comparadas entre o 100% virgem e a blenda (devulcanizado/virgem).A empresa BIOATIVOSGROUP celebra em parceria com a Unidade Embrapii da UFABC, o CTIM, um acordo de pesquisa, desenvolvimento e inovação no âmbito do programa Rota 2030. O objetivo é desenvolver uma rota de reciclagem de pneus usados através da desvulcanização por processo sustentável de compostos de borracha. A inovação utilizará o CO2 supercrítico como um meio de reação sem gerar resíduos nocivos ao meio-ambiente, e está alinhado a alguns Objetivos de Desenvolvimento Sustentável da ONU. Os materiais obtidos poderão ser reintroduzidos na indústria automotiva para fabricação de novos pneus e outros produtos, o que contribui com os esforços de mitigação do impacto dos resíduos da indústria automotiva na natureza. O projeto é celebrado no âmbito do Programa Rota 2030, projetos excepcionais Tipo III, contando com aporte financeiro somente pela Embrapii, no valor de R$ 420.000,00.";Química
